video_id,title,description,channel,published_at,url,comment_sample
U6OGzfIcssI,"Bupati Blitar Wacanakan Lomba Sound Horeg, MUI Jatim Tegaskan Haram","Bupati Blitar, Rijanto, mewacanakan perlombaan sound horeg yang dinilai membawa dampak positif bagi masyarakat dan ...",FIN,2025-07-24T13:04:40Z,https://www.youtube.com/watch?v=U6OGzfIcssI,[]
2RDqjjQIPwY,MUI Jatim: Sound Horeg Haram‼️ #shorts #viralshorts #fypviral,,NVSAIBAH,2025-07-10T12:30:09Z,https://www.youtube.com/watch?v=2RDqjjQIPwY,"['lak oraseneng rasah delok brebeki ae wemisoh misoh rajelas golei omahe rontokno omae ambek jebol no kupinge', 'Gas . Seneng rungono gak seneng minggiro', 'Los raurus penting sounan', 'Padahal masih belum ada keputusan dari Ketu MUI jawa timur loh bahwa sound horeg itu haram😅😂😂.', 'Unfaedah']"
CBpZTI8HEvY,MUI Ingatkan Pemerintah Tegas karena Sound Horeg Merugikan Masyarakat,Fatwa haram terhadap penggunaan sound horeg secara berlebihan yang dikeluarkan Majelis Ulama Indonesia Jawa Timur ...,Tribun Jateng,2025-07-28T11:59:33Z,https://www.youtube.com/watch?v=CBpZTI8HEvY,"['Ada 3 makhluk yg sulit menerima kebenaran :\n1. Iblis \n2. Saudaranya iblis \n3. Temannya iblis.', 'Dari ngurusi sound system horeeg lebih baik bersihin MUI, NU dari baalawi biar mukibin sadar bahwa habib baalawi yahudi mbladus sesat menyesatkan jongosnya Dajjal', 'Bubarkan soundhoreg merugikan dan sengsarakan rakyat...hanya menguntungkan pemilik sound dan segelintir orang .']"
kyuUqlOQTj8,FATWA HARAM UNTUK SOUND HOREG? Warga Protes Gara-gara Terlalu Berisik! 🔊😠,,FaktaNya,2025-07-16T06:51:19Z,https://www.youtube.com/watch?v=kyuUqlOQTj8,[]
RolYYdyj__U,Fatwa Haram Untuk Sound Horeg oleh MUI. #news,,Miss Fakta,2025-07-11T02:00:32Z,https://www.youtube.com/watch?v=RolYYdyj__U,"['Ulama gila itu', 'bubarkan aja mui']"
KRC91lmEWGU,Sound Horeg Ditetapkan Haram oleh MUI: Ini Alasan Lengkapnya!,,DTX Media,2025-07-15T10:48:00Z,https://www.youtube.com/watch?v=KRC91lmEWGU,[]
fRQwzMTplh0,Pemilik sound horeg sebut fatwa MUI hambat kemajuan Indonesia ❓❗,shortsfeed #shortvideo #shortsviral #quotes #memes #viral #viralvideo #gosip #gosipartis #infotainment #news #newsupdate ...,Calon Miliarder,2025-07-08T17:26:34Z,https://www.youtube.com/watch?v=fRQwzMTplh0,"['Kalian pernah denger ga suaranya, sumpah gw ga tahan suaranya gendang telinga serasa pecah', 'mana ada negara bisa maju karena sound ini....yg ada malah kemunduran adab', 'Itu sound horeg fungsinya apa?', 'kalimat nya hebat...menghambat kemajuan...hahahahaha...banyak yg di rusak jika pekakas ini datang', 'Sound horeg yg kampungan… bukan peradaban modern itu']"
mDXhQHBoaE8,BAHTSUL MASAIL FATWA KAN SOUND HOREG HARAM #shortsvideo #beritaterkini #news,,Ridho Agung Pratama,2025-07-01T13:16:07Z,https://www.youtube.com/watch?v=mDXhQHBoaE8,[]
hbCIMijkbiY,Sound Horeg Haram? | INDONESIA Gak Akan Maju #dalam1menit,"Sound horeg diharamkan? MUI dan PBNU Blitar bilang ini mengganggu dan penuh maksiat. Tapi buat kami, ini bukan sekadar ...",Agies Desantria,2025-07-13T04:50:15Z,https://www.youtube.com/watch?v=hbCIMijkbiY,"['Sangat setuju sound horeg diharamkan 1000 persen setuju', 'Jangan Dikit Dikit HARAM, Tapi Tolong Juga, Suara Sound Sistemnya Jangan Ganggu Orang lain, Harusnya Pemerintah Daerah Carikan Solusi karena Sudah jadi Tradisi Budaya Daerah!\n\nJika Kaca Rumah Masyarakat Pecah Karena Getaran Suaranya, Wajar Mereka Marah Dan Minta Ganti Rugi!\n\nJangan Hapus Atau Binasakan Budaya Asli Daerah Hanya Karena Tidak Sesuai Keyakinannya!', 'Betul', 'Setuju karena brisik klsu mau yetel orek setel aja dirumah masing2', 'Gimana tdk mau dengerin kalau mainnya dekat rumah...cobalah main tiap hari dekat rumahmu atau lingkungan mu pasti rumahmu akan hujan batu dr org yg tdk suka']"
lVrpuSAoGsM,Sound Horeg: Why MUI is Wrong,Fatwa MUI Jawa Timur tentang sound horeg menuai pro dan kontra. Apa benar sound jedag-jedug ini bakal jadi haram?,Ruangan Ilmu,2025-07-19T09:08:27Z,https://www.youtube.com/watch?v=lVrpuSAoGsM,"['Dua kata lucu ""horeg haram"",\nTapi ga setuju juga ttg horeg:v.']"
